data	11	21	22	23	31	32	33	42	44	45	48	49	51	52	53	54	55	56	61	62	71	72	81	92	0	0	0
1	30	0	2	26	14	15	25	111	66	38	7	2	6	6	3	23	66	0	23	18	11	32	14	37	0	0	0
2	8	2	31	248	12	33	60	29	47	16	3	4	0	4	5	37	1	36	8	7	6	34	12	20	0	0	0
3	0	0	1	7	4	12	20	7	70	24	0	3	27	12	3	25	1	15	11	11	5	33	11	2	0	0	0
4	6	1	3	26	19	26	45	51	144	80	16	8	41	118	13	59	2	96	56	127	18	108	39	27	0	0	0
5	0	0	0	0	0	0	0	2	1	0	0	0	1	0	1	0	0	1	7	5	3	0	1	0	0	0	0
6	0	0	0	0	0	2	1	0	0	0	0	0	0	4	1	0	0	0	0	0	0	1	0	0	0	0	0
7	0	0	0	2	1	2	0	2	3	5	0	0	1	3	1	1	0	6	6	44	0	7	11	2	0	0	0
8	13	0	2	22	44	21	73	24	237	136	11	4	18	39	28	58	0	293	268	3611	47	299	85	86	0	0	0
9	1	0	0	2	1	0	0	4	20	9	2	0	5	1	3	0	1	5	10	9	12	67	0	1	0	0	0
10	1	0	0	2	1	4	1	3	18	13	0	0	1	3	3	2	1	5	39	93	6	27	19	4	0	0	0
11	2	0	1	4	4	10	17	18	50	33	5	5	31	44	3	42	4	64	27	17	7	19	3	16	0	0	0
12	2	1	1	9	4	3	12	9	40	30	4	5	2	18	2	25	0	37	23	44	10	30	9	90	0	0	0
13	7	0	1	62	30	40	241	33	48	19	5	6	0	8		4	13	2	36	13	4	2	23	20	5	0	0
14	0	0	0	8	1	3	10	8	45	18	2	3	10	27	5	9	0	18	13	12	8	21	4	3	0	0	0
15	0	0	0	4	5	1	6	2	5	3	0	0	0	1		1	1	2	2	2	2		2	0	0	0	0
16	7	3	1	29	11	20	56	62	198	28	44	8	4	8	4	3	0	30	8	8	3	32	80	6	0	0	0
99	31	1	19	162	79	104	217	147	855	488	51	51	156	309	67	160	8	400	396	867	160	877	214	177	0	0	0
